"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
2007-03-19,H1H07,"NCDEX Barley March 2007 Futures",853.8,895.8,2006-12-13,735,2006-12-11,+5.88%,2007-03-20
2007-04-19,H1J07,"NCDEX Barley April 2007 Futures",830.8,867.6,2006-12-13,705,2007-03-08,+0.10%,2007-04-20
2007-05-17,H1K07,"NCDEX Barley May 2007 Futures",767.2,895,2007-04-09,725.8,2007-03-07,-8.49%,2007-05-18
2007-06-19,H1M07,"NCDEX Barley June 2007 Futures",743,907,2007-04-09,730,2007-06-20,-5.83%,2007-06-20
2007-07-19,H1N07,"NCDEX Barley July 2007 Futures",852.8,917,2007-04-06,762,2007-02-14,+8.50%,2007-07-20
2007-08-19,H1Q07,"NCDEX Barley August 2007 Futures",891,925,2007-04-09,773,2007-05-25,+8.90%,2007-08-20
2007-09-19,H1U07,"NCDEX Barley September 2007 Futures",1187.6,1225,2007-09-18,760,2007-05-25,+29.51%,2007-09-20
2007-10-18,H1V07,"NCDEX Barley October 2007 Futures",1247.8,1267,2007-10-19,785,2007-05-18,+52.92%,2007-10-19
2007-11-19,H1X07,"NCDEX Barley November 2007 Futures",1264,1282,2007-10-29,835,2007-06-20,+51.38%,2007-11-20
2007-12-19,H1Z07,"NCDEX Barley December 2007 Futures",1259,1278,2007-10-30,850,2007-07-12,+48.12%,2007-12-20
2008-04-16,H1J08,"NCDEX Barley April 2008 Futures",1046.4,1165.2,2008-03-28,784,2007-08-30,+13.25%,2008-04-17
2008-05-19,H1K08,"NCDEX Barley May 2008 Futures",1263.4,1290,2008-05-20,810,2007-09-12,+52.40%,2008-05-20
2008-06-19,H1M08,"NCDEX Barley June 2008 Futures",1343,1378,2008-06-18,916,2007-12-17,+43.18%,2008-06-20
2008-07-17,H1N08,"NCDEX Barley July 2008 Futures",1268,1387,2008-06-16,907,2007-11-15,+35.18%,2008-07-18
2008-08-19,H1Q08,"NCDEX Barley August 2008 Futures",1219.6,1390,2008-06-11,906,2007-12-26,+28.38%,2008-08-20
2008-09-18,H1U08,"NCDEX Barley September 2008 Futures",1190.6,1401,2008-06-16,938,2008-01-18,+26.93%,2008-09-19
2008-10-19,H1V08,"NCDEX Barley October 2008 Futures",1136.6,1409,2008-06-16,1077,2008-04-23,-11.20%,2008-10-20
2008-11-19,H1X08,"NCDEX Barley November 2008 Futures",1088.8,1399.8,2008-06-02,1052,2008-04-17,-15.60%,2008-11-20
2008-12-18,H1Z08,"NCDEX Barley December 2008 Futures",930,1452,2008-06-02,930,2008-12-19,-19.83%,2008-12-19
2009-04-19,H1J09,"NCDEX Barley April 2009 Futures",941,1236.8,2008-09-24,835,2009-03-12,-17.44%,2009-04-20
